,0
num__MAX_DELAY,0.13077079588892607
num__N_MONTHS_DELAYED,0.12908894681183916
num__PAY_1,0.12011590456637644
num__PAY_2,0.059403697072208196
num__UTILIZATION,0.040090754636486536
num__AVG_PAYMENT,0.036281051836900065
num__PAY_3,0.03407247218105918
num__LIMIT_BAL,0.03314733627879129
num__PAY_TO_BILL_RATIO,0.03217903966855578
num__PAY_AMT1,0.029956781773117433
num__AVG_BILL,0.028645422854430606
num__BILL_AMT1,0.028021550379306752
num__PAY_4,0.027980651833993675
num__PAY_AMT2,0.02786000933961871
num__PAY_AMT3,0.023766502966632935
num__BILL_AMT2,0.021783186671437763
num__BILL_AMT3,0.020021582134400116
num__BILL_AMT4,0.019662972041145046
num__PAY_AMT6,0.019642802324467034
num__PAY_AMT4,0.019499318729147924
num__PAY_5,0.01913769516463369
num__BILL_AMT5,0.018915012304046765
num__PAY_AMT5,0.01816631227475289
num__BILL_AMT6,0.017901331535166265
num__AGE,0.016727905073856134
num__PAY_6,0.014847057625259735
cat__SEX_2,0.003868053348349648
cat__EDUCATION_2,0.0036883512900434006
cat__MARRIAGE_2,0.0035250720220408355
cat__EDUCATION_3,0.001061224803738743
cat__EDUCATION_4,0.00011274595095409128
cat__MARRIAGE_3,5.845861831719022e-05
